District,Year,Enrollment Type,County,District Classification,Enrollment Breakdown,Metric,Region,Col Label,Color Desc,Row Label,Status %
San Dieguito Union High,2017,White,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,95.70%
Fallbrook Union High,2017,White,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,90.10%
Sweetwater Union High,2017,White,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,84.40%
Escondido Union High,2017,White,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,92.40%
Grossmont Union High,2017,White,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,83.10%
Julian Union High,2017,White,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,100.00%
SBC - High Tech High,2017,All Students,San Diego,Statewide Benefit Charter,All Students,currstatus,San Diego/Imperial,,,,96.30%
SBC - High Tech High,2017,SwD,San Diego,Statewide Benefit Charter,Disability Status,currstatus,San Diego/Imperial,,,,95.00%
SBC - High Tech High,2017,Econ Disadv,San Diego,Statewide Benefit Charter,Economic Status,currstatus,San Diego/Imperial,,,,95.00%
SBC - High Tech High,2017,Filipino,San Diego,Statewide Benefit Charter,Race/Ethnicity,currstatus,San Diego/Imperial,,,,100.00%
SBC - High Tech High,2017,Hispanic,San Diego,Statewide Benefit Charter,Race/Ethnicity,currstatus,San Diego/Imperial,,,,96.10%
SBC - High Tech High,2017,Two or More,San Diego,Statewide Benefit Charter,Race/Ethnicity,currstatus,San Diego/Imperial,,,,91.70%
SBC - High Tech High,2017,White,San Diego,Statewide Benefit Charter,Race/Ethnicity,currstatus,San Diego/Imperial,,,,95.50%
Oceanside Unified,2017,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,,,,88.00%
Carlsbad Unified,2017,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,,,,94.10%
Vista Unified,2017,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,,,,86.30%
Coronado Unified,2017,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,,,,95.00%
San Marcos Unified,2017,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,,,,95.40%
San Diego Unified,2017,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,,,,89.10%
Poway Unified,2017,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,,,,95.00%
Valley Center-Pauma Unified,2017,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,,,,91.10%
Ramona City Unified,2017,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,,,,93.10%
Warner Unified,2017,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,,,,100.00%
Mountain Empire Unified,2017,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,,,,83.80%
Borrego Springs Unified,2017,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,,,,93.10%
Oceanside Unified,2017,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,,,,77.00%
Carlsbad Unified,2017,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,,,,75.50%
Vista Unified,2017,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,,,,68.60%
Coronado Unified,2017,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,,,,84.60%
San Marcos Unified,2017,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,,,,82.10%
San Diego Unified,2017,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,,,,59.40%
Poway Unified,2017,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,,,,80.20%
Valley Center-Pauma Unified,2017,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,,,,78.10%
Ramona City Unified,2017,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,,,,65.80%
Mountain Empire Unified,2017,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,,,,46.20%
Oceanside Unified,2017,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,,,,86.50%
Carlsbad Unified,2017,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,,,,90.10%
Vista Unified,2017,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,,,,82.50%
Coronado Unified,2017,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,,,,97.10%
San Marcos Unified,2017,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,,,,94.70%
San Diego Unified,2017,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,,,,86.00%
Poway Unified,2017,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,,,,88.90%
Valley Center-Pauma Unified,2017,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,,,,87.90%
Ramona City Unified,2017,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,,,,87.90%
Warner Unified,2017,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,,,,100.00%
Mountain Empire Unified,2017,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,,,,83.30%
Borrego Springs Unified,2017,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,,,,92.90%
San Diego Unified,2017,Amer Indian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,75.00%
Valley Center-Pauma Unified,2017,Amer Indian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,81.60%
Oceanside Unified,2017,Asian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,96.60%
Carlsbad Unified,2017,Asian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,93.90%
Vista Unified,2017,Asian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,92.30%
San Marcos Unified,2017,Asian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,95.80%
San Diego Unified,2017,Asian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,91.20%
Poway Unified,2017,Asian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,97.40%
Oceanside Unified,2017,Black,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,89.50%
Carlsbad Unified,2017,Black,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,90.00%
Vista Unified,2017,Black,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,84.20%
San Marcos Unified,2017,Black,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,95.00%
San Diego Unified,2017,Black,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,87.40%
Poway Unified,2017,Black,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,91.70%
Oceanside Unified,2017,Filipino,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,92.20%
Vista Unified,2017,Filipino,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,91.40%
San Marcos Unified,2017,Filipino,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,100.00%
San Diego Unified,2017,Filipino,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,93.20%
Poway Unified,2017,Filipino,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,95.00%
Oceanside Unified,2017,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,86.90%
Carlsbad Unified,2017,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,90.10%
Vista Unified,2017,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,82.80%
Coronado Unified,2017,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,90.70%
San Marcos Unified,2017,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,94.60%
San Diego Unified,2017,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,85.30%
Poway Unified,2017,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,91.70%
Valley Center-Pauma Unified,2017,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,91.00%
Ramona City Unified,2017,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,89.20%
Mountain Empire Unified,2017,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,89.70%
Borrego Springs Unified,2017,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,95.20%
Oceanside Unified,2017,Pacific Isle,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,97.20%
Vista Unified,2017,Pacific Isle,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,87.00%
San Marcos Unified,2017,Pacific Isle,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,100.00%
San Diego Unified,2017,Pacific Isle,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,93.50%
Poway Unified,2017,Pacific Isle,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,80.00%
Oceanside Unified,2017,Two or More,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,73.10%
Carlsbad Unified,2017,Two or More,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,98.30%
Vista Unified,2017,Two or More,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,92.90%
San Diego Unified,2017,Two or More,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,91.10%
Poway Unified,2017,Two or More,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,92.90%
Oceanside Unified,2017,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,89.00%
Carlsbad Unified,2017,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,95.40%
Vista Unified,2017,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,92.50%
Coronado Unified,2017,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,95.30%
San Marcos Unified,2017,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,96.30%
San Diego Unified,2017,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,93.80%
Poway Unified,2017,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,95.50%
Valley Center-Pauma Unified,2017,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,95.00%
Ramona City Unified,2017,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,95.30%
Mountain Empire Unified,2017,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,,,,78.30%
San Diego County Office of Education,2018,All Students,San Diego,County Office of Education (COE),All Students,currstatus,San Diego/Imperial,Declined,Red,Very Low,40.20%
San Diego County Office of Education,2018,SwD,San Diego,County Office of Education (COE),Disability Status,currstatus,San Diego/Imperial,Declined,Red,Very Low,44.30%
San Diego County Office of Education,2018,Econ Disadv,San Diego,County Office of Education (COE),Economic Status,currstatus,San Diego/Imperial,Declined,Red,Very Low,39.90%
San Diego County Office of Education,2018,Hispanic,San Diego,County Office of Education (COE),Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Red,Very Low,35.80%
San Diego County Office of Education,2018,Two or More,San Diego,County Office of Education (COE),Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,50.00%
San Diego County Office of Education,2018,Black,San Diego,County Office of Education (COE),Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Red,Very Low,51.40%
San Diego County Office of Education,2018,White,San Diego,County Office of Education (COE),Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Red,Very Low,48.10%
San Diego County Office of Education,2018,Asian,San Diego,County Office of Education (COE),Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,64.30%
San Diego County Office of Education,2019,All Students,San Diego,County Office of Education (COE),All Students,currstatus,San Diego/Imperial,Increased Significantly,Red,Very Low,55.80%
San Diego County Office of Education,2019,SwD,San Diego,County Office of Education (COE),Disability Status,currstatus,San Diego/Imperial,Increased,Red,Very Low,54.60%
San Diego County Office of Education,2019,Econ Disadv,San Diego,County Office of Education (COE),Economic Status,currstatus,San Diego/Imperial,Increased Significantly,Red,Very Low,56.40%
San Diego County Office of Education,2019,Two or More,San Diego,County Office of Education (COE),Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,36.40%
San Diego County Office of Education,2019,Black,San Diego,County Office of Education (COE),Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Red,Very Low,61.50%
San Diego County Office of Education,2019,White,San Diego,County Office of Education (COE),Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Red,Very Low,52.30%
San Diego County Office of Education,2019,Hispanic,San Diego,County Office of Education (COE),Race/Ethnicity,currstatus,San Diego/Imperial,Increased Significantly,Red,Very Low,55.80%
Lakeside Union Elementary (San Diego),2013,All Students,San Diego,Elementary School District,All Students,prioryear2_status,San Diego/Imperial,No Color,No Color,No Color,27.30%
Lakeside Union Elementary (San Diego),2013,SwD,San Diego,Elementary School District,Disability Status,prioryear2_status,San Diego/Imperial,No Color,No Color,No Color,27.30%
Fallbrook Union High,2012,Black,San Diego,High School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,No Color,No Color,No Color,83.30%
Fallbrook Union High,2012,Two or More,San Diego,High School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,No Color,No Color,No Color,93.80%
Fallbrook Union High,2013,Black,San Diego,High School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,No Color,No Color,No Color,70.60%
Fallbrook Union High,2013,Two or More,San Diego,High School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,No Color,No Color,No Color,90.50%
Fallbrook Union High,2014,Filipino,San Diego,High School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,No Color,No Color,No Color,91.70%
Julian Union High,2014,Hispanic,San Diego,High School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,No Color,No Color,No Color,90.90%
Fallbrook Union High,2014,Two or More,San Diego,High School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,No Color,No Color,No Color,96.00%
Fallbrook Union High,2012,SwD,San Diego,High School District,Disability Status,prioryear3_status,San Diego/Imperial,Declined,Red,Very Low,67.80%
Fallbrook Union High,2013,SwD,San Diego,High School District,Disability Status,prioryear2_status,San Diego/Imperial,Declined,Red,Very Low,66.20%
Fallbrook Union High,2014,SwD,San Diego,High School District,Disability Status,prioryear1_status,San Diego/Imperial,Declined,Red,Very Low,67.20%
Fallbrook Union High,2015,SwD,San Diego,High School District,Disability Status,currstatus,San Diego/Imperial,Declined,Red,Very Low,64.50%
Grossmont Union High,2012,SwD,San Diego,High School District,Disability Status,prioryear3_status,San Diego/Imperial,Increased Significantly,Red,Very Low,59.50%
Grossmont Union High,2013,SwD,San Diego,High School District,Disability Status,prioryear2_status,San Diego/Imperial,Increased Significantly,Red,Very Low,59.70%
Grossmont Union High,2014,SwD,San Diego,High School District,Disability Status,prioryear1_status,San Diego/Imperial,Increased Significantly,Red,Very Low,47.60%
Grossmont Union High,2015,SwD,San Diego,High School District,Disability Status,currstatus,San Diego/Imperial,Increased Significantly,Red,Very Low,61.60%
Fallbrook Union High,2012,All Students,San Diego,High School District,All Students,prioryear3_status,San Diego/Imperial,Declined Significantly,Red,Low,86.50%
Fallbrook Union High,2013,All Students,San Diego,High School District,All Students,prioryear2_status,San Diego/Imperial,Declined Significantly,Red,Low,88.80%
Fallbrook Union High,2014,All Students,San Diego,High School District,All Students,prioryear1_status,San Diego/Imperial,Declined Significantly,Red,Low,85.10%
Fallbrook Union High,2015,All Students,San Diego,High School District,All Students,currstatus,San Diego/Imperial,Declined Significantly,Red,Low,80.70%
Grossmont Union High,2012,All Students,San Diego,High School District,All Students,prioryear3_status,San Diego/Imperial,Increased Significantly,Yellow,Low,78.00%
Grossmont Union High,2013,All Students,San Diego,High School District,All Students,prioryear2_status,San Diego/Imperial,Increased Significantly,Yellow,Low,79.50%
Grossmont Union High,2014,All Students,San Diego,High School District,All Students,prioryear1_status,San Diego/Imperial,Increased Significantly,Yellow,Low,76.10%
Grossmont Union High,2015,All Students,San Diego,High School District,All Students,currstatus,San Diego/Imperial,Increased Significantly,Yellow,Low,84.70%
Sweetwater Union High,2012,SwD,San Diego,High School District,Disability Status,prioryear3_status,San Diego/Imperial,Increased,Yellow,Low,70.20%
Escondido Union High,2012,SwD,San Diego,High School District,Disability Status,prioryear3_status,San Diego/Imperial,Increased,Yellow,Low,71.50%
Sweetwater Union High,2013,SwD,San Diego,High School District,Disability Status,prioryear2_status,San Diego/Imperial,Increased,Yellow,Low,64.70%
Escondido Union High,2013,SwD,San Diego,High School District,Disability Status,prioryear2_status,San Diego/Imperial,Increased,Yellow,Low,75.30%
Sweetwater Union High,2014,SwD,San Diego,High School District,Disability Status,prioryear1_status,San Diego/Imperial,Increased,Yellow,Low,66.10%
Escondido Union High,2014,SwD,San Diego,High School District,Disability Status,prioryear1_status,San Diego/Imperial,Increased,Yellow,Low,77.30%
Sweetwater Union High,2015,SwD,San Diego,High School District,Disability Status,currstatus,San Diego/Imperial,Increased,Yellow,Low,69.30%
Escondido Union High,2015,SwD,San Diego,High School District,Disability Status,currstatus,San Diego/Imperial,Increased,Yellow,Low,76.60%
Fallbrook Union High,2012,Econ Disadv,San Diego,High School District,Economic Status,prioryear3_status,San Diego/Imperial,Declined Significantly,Red,Low,86.00%
Fallbrook Union High,2013,Econ Disadv,San Diego,High School District,Economic Status,prioryear2_status,San Diego/Imperial,Declined Significantly,Red,Low,88.20%
Fallbrook Union High,2014,Econ Disadv,San Diego,High School District,Economic Status,prioryear1_status,San Diego/Imperial,Declined Significantly,Red,Low,78.30%
Fallbrook Union High,2015,Econ Disadv,San Diego,High School District,Economic Status,currstatus,San Diego/Imperial,Declined Significantly,Red,Low,76.00%
Sweetwater Union High,2012,Econ Disadv,San Diego,High School District,Economic Status,prioryear3_status,San Diego/Imperial,Increased,Yellow,Low,84.10%
Sweetwater Union High,2013,Econ Disadv,San Diego,High School District,Economic Status,prioryear2_status,San Diego/Imperial,Increased,Yellow,Low,83.20%
Sweetwater Union High,2014,Econ Disadv,San Diego,High School District,Economic Status,prioryear1_status,San Diego/Imperial,Increased,Yellow,Low,81.30%
Sweetwater Union High,2015,Econ Disadv,San Diego,High School District,Economic Status,currstatus,San Diego/Imperial,Increased,Yellow,Low,84.00%
Grossmont Union High,2012,Econ Disadv,San Diego,High School District,Economic Status,prioryear3_status,San Diego/Imperial,Increased Significantly,Yellow,Low,70.70%
Grossmont Union High,2013,Econ Disadv,San Diego,High School District,Economic Status,prioryear2_status,San Diego/Imperial,Increased Significantly,Yellow,Low,70.90%
Grossmont Union High,2014,Econ Disadv,San Diego,High School District,Economic Status,prioryear1_status,San Diego/Imperial,Increased Significantly,Yellow,Low,68.90%
Grossmont Union High,2015,Econ Disadv,San Diego,High School District,Economic Status,currstatus,San Diego/Imperial,Increased Significantly,Yellow,Low,79.90%
Fallbrook Union High,2012,Hispanic,San Diego,High School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Declined Significantly,Red,Low,83.30%
Fallbrook Union High,2013,Hispanic,San Diego,High School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Declined Significantly,Red,Low,88.40%
Fallbrook Union High,2014,Hispanic,San Diego,High School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Declined Significantly,Red,Low,78.80%
Fallbrook Union High,2015,Hispanic,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined Significantly,Red,Low,76.80%
Escondido Union High,2012,Black,San Diego,High School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,No Color,No Color,No Color,85.70%
Escondido Union High,2013,Black,San Diego,High School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,No Color,No Color,No Color,91.30%
Escondido Union High,2014,Black,San Diego,High School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,No Color,No Color,No Color,93.80%
Escondido Union High,2015,Black,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,82.80%
Sweetwater Union High,2012,Black,San Diego,High School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Declined,Orange,Low,82.40%
Sweetwater Union High,2013,Black,San Diego,High School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Declined,Orange,Low,86.30%
Sweetwater Union High,2014,Black,San Diego,High School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Declined,Orange,Low,83.90%
Sweetwater Union High,2015,Black,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Orange,Low,82.10%
Grossmont Union High,2012,Pacific Isle,San Diego,High School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,No Color,No Color,No Color,81.50%
